BB_TICKER,EXCH_NAME,City,Country,EXCH_CODE,EXCH_FEED,TIME_ZONE_NUM,TICKER,NAME,ID_EXCH_SYMBOL,ID_BB,ID_BB_PARSEKEY,FEED_CODE,FEED_SOURCE,TICKER_RT,FUT_GEN_MONTH,FUT_TRADING_UNITS,PX_SCALING_FACTOR,FUT_CONT_SIZE,FUT_TICK_SIZE,FUT_TICK_VAL,TRADING_DAY_START_TIME_EOD,TRADING_DAY_END_TIME_EOD,CRNCY,QUOTED_CRNCY,SES_START,SES_END,FUT_TRADING_HRS,SECURITY_TYP2,SECURITY_TYP,FUTURES_CATEGORY,ASSET_CLASS,PRODUCT,EXPOSURE,TRADE,INDEX,ID_RIC,CODE,DISPLAY_NAME,EXCH_ID,TRD_UNITS,LOTSUNITS,OPEN_INT
BAZ6 Comdty,Montreal Exchange,Montreal,Canada,MSE,XMOD,-4,BAZ6,BANK ACCEPT,BAX,BA,BAmY Comdty,MONTREAL,MSE,BAZ6,HMUZ,CAD,1,1000000,0.005,12.5,11:00:00,21:00:00,CAD,CAD,11:00:00,21:00:00,11:00-21:00,Future,Financial commodity future,Interest Rate,IR,FUTURE,DERIVATIVE,TRUE,TRUE,BAX,BAXc1,3M CDN BK JUL6/d,MON,3DP ,M CAD,0
CNU6 Comdty,Montreal Exchange,Montreal,Canada,MSE,XMOD,-4,CNU6,CAN 10YR BOND,CGB,CN,CNmY Comdty,MONTREAL,MSE,CNU6,HMUZ,CAD,1,100000,0.01,10,11:00:00,21:00:00,CAD,CAD,11:00:00,21:00:00,11:00-21:00,Future,Financial commodity future,Bond,IR,FUTURE,DERIVATIVE,TRUE,TRUE,CGB,CGBc1,CA 10YR BND SE/d,MON,2DP , CAD ,403173
ERZ6 Comdty,ICE Futures Europe Financials,London,United Kingdom,ICF,IFLL,1,ERZ6,3MO EURO EURIBOR,I,ER,ERmY Comdty,ICE EUR,ICF,ERZ6,HMUZ,EUR,1,1000000,0.005,12.5,01:00:00,21:00:00,EUR,EUR,01:00:00,21:00:00,01:00-21:00,Future,Financial commodity future,Interest Rate,IR,FUTURE,DERIVATIVE,TRUE,TRUE,I,Ic1,#N/A The record could not be found,#N/A The record could not be found,#N/A The record could not be found,#N/A The record could not be found,#N/A The record could not be found
DUU6 Comdty,Eurex,Frankfurt,Germany,EUX,XEUR,2,DUU6,EURO-SCHATZ,FGBS,DU,DUmY Comdty,EUREX,EUX,DUU6,HMUZ,EUR,1,100000,0.005,5,07:00:00,21:00:00,EUR,EUR,07:00:00,21:00:00,07:00-21:00,Future,Financial commodity future,Bond,IR,FUTURE,DERIVATIVE,TRUE,TRUE,FGBS,FGBSc1,SCHATZ 6% SEP6,DTB,3DP , EUR ,1020906
OEU6 Comdty,Eurex,Frankfurt,Germany,EUX,XEUR,2,OEU6,EURO-BOBL,FGBM,OE,OEmY Comdty,EUREX,EUX,OEU6,HMUZ,EUR,1,100000,0.01,10,07:00:00,21:05:00,EUR,EUR,07:00:00,21:05:00,07:00-21:00,Future,Financial commodity future,Bond,IR,FUTURE,DERIVATIVE,TRUE,TRUE,FGBM,FGBMc1,BOBL FUT 6% SEP6,DTB,3DP , EUR ,1131153
RXU6 Comdty,Eurex,Frankfurt,Germany,EUX,XEUR,2,RXU6,EURO-BUND,FGBL,RX,RXmY Comdty,EUREX,EUX,RXU6,HMUZ,EUR,1,100000,0.01,10,07:00:00,21:10:00,EUR,EUR,07:00:00,21:10:00,07:00-21:00,Future,Financial commodity future,Bond,IR,FUTURE,DERIVATIVE,TRUE,TRUE,FGBL,FGBLc1,BUND FUT 6% SEP6,DTB,2DP , EUR ,1385701
UBU6 Comdty,Eurex,Frankfurt,Germany,EUX,XEUR,2,UBU6,EURO BUXL 30Y BND,FGBX,UB,UBmY Comdty,EUREX,EUX,UBU6,HMUZ,EUR,1,100000,0.02,20,07:00:00,21:00:00,EUR,EUR,07:00:00,21:00:00,07:00-21:00,Future,Financial commodity future,Bond,IR,FUTURE,DERIVATIVE,TRUE,FALSE,FGBX,FGBXc1,EUR BUXL 4% SEP6,DTB,2DP , EUR ,117768
L Z6 Comdty,ICE Futures Europe Financials,London,United Kingdom,ICF,IFLL,1,L Z6,90DAY STERLING FU,L,0L,0LmY Comdty,ICE EUR,ICF,0LZ6,HMUZ,£,1,500000,0.01,12.5,07:30:00,18:00:00,GBP,GBP,07:30:00,18:00:00,07:30-18:00,Future,Financial commodity future,Interest Rate,IR,FUTURE,DERIVATIVE,TRUE,TRUE,L,Lc1,#N/A The record could not be found,#N/A The record could not be found,#N/A The record could not be found,#N/A The record could not be found,#N/A The record could not be found
G U6 Comdty,ICE Futures Europe Financials,London,United Kingdom,ICF,IFLL,1,G U6,LONG GILT,R,G ,G mY Comdty,ICE EUR,ICF,G U6,HMUZ,£,1,100000,0.01,10,08:00:00,18:00:00,GBP,GBP,08:00:00,18:00:00,08:00-18:00,Future,Financial commodity future,Bond,IR,FUTURE,DERIVATIVE,TRUE,TRUE,R,Rc1,Retrieving...,Retrieving...,Retrieving...,Retrieving...,Retrieving...
ESZ6 Comdty,ICE Futures Europe Financials,London,United Kingdom,ICF,IFLL,1,ESZ6,EURO CHF 3MO ICE,S,ES,ESmY Comdty,ICE EUR,ICF,ESZ6,HMUZ,S?,1,1000000,0.01,25,07:30:00,18:00:00,CHF,CHF,07:30:00,18:00:00,07:30-18:00,Future,Financial commodity future,Interest Rate,IR,FUTURE,DERIVATIVE,TRUE,TRUE,S,Sc1,Retrieving...,Retrieving...,Retrieving...,Retrieving...,98840
OATU6 Comdty,Eurex,Frankfurt,Germany,EUX,XEUR,2,OATU6,EURO-OAT,FOAT,OAT,OATmY Comdty,EUREX,EUX,OATU6,HMUZ,EUR,1,100000,0.01,10,07:00:00,19:00:00,EUR,EUR,07:00:00,19:00:00,07:00-18:00,Future,Financial commodity future,Bond,IR,FUTURE,DERIVATIVE,TRUE,FALSE,FOAT,FOATc1,FOAT SEP6,DTB,2DP , EUR ,231566
IKU6 Comdty,Eurex,Frankfurt,Germany,EUX,XEUR,2,IKU6,EURO-BTP,FBTP,IK,IKmY Comdty,EUREX,EUX,IKU6,HMUZ,EUR,1,100000,0.01,10,07:00:00,18:06:00,EUR,EUR,07:00:00,18:06:00,07:00-18:00,Future,Financial commodity future,Bond,IR,FUTURE,DERIVATIVE,TRUE,FALSE,FBTP,FBTPc1,BTP 6% SEP6,DTB,2DP , EUR ,269097
IRZ6 Comdty,ASX Trade24,Sydney,Australia,SFE,XSFE,10,IRZ6,90-DAY BANK BILL,IR,IR,IRmY Comdty,SYDNEY,cSFE,IRZ6,HMUZ,AUD,1,1000000,0.01,24.44,07:58:00,07:30:00,AUD,AUD,07:58:00,07:30:00,08:08-22:00 & 23:28-07:30,Future,Financial commodity future,Interest Rate,IR,FUTURE,DERIVATIVE,TRUE,TRUE,IR,IRc1,#N/A The record could not be found,#N/A The record could not be found,#N/A The record could not be found,#N/A The record could not be found,#N/A The record could not be found
